sim_id,pity_threshold,player_type,population_share,fatigue,boxes_opened,boxes_opened_weighted,utility,revenue,dev_cost_allocated,net_revenue,participated
0,0,Whale,0.05,0.06869780242779816,27.44551882375391,1.3722759411876957,228.60547532061165,5.296985132984505,0.0,5.296985132984505,1
0,0,Casual,0.3,0.1975622351636756,7.786519783412221,2.3359559350236663,24.13173223188052,9.01678990919135,0.0,9.01678990919135,1
0,0,F2P,0.65,0.47415960484651626,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,Whale,0.05,0.06219325600403323,57.32619646247766,2.866309823123883,547.8847868757767,11.06395591725819,0.0,11.06395591725819,1
1,0,Casual,0.3,0.10638172561041753,11.951097841163852,3.5853293523491554,40.075962469318114,13.83937130006774,0.0,13.83937130006774,1
1,0,F2P,0.65,0.5941396048789807,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0,Whale,0.05,0.06891917485368809,57.52421145567023,2.8762105727835117,658.0417377856993,11.102172810944355,0.0,11.102172810944355,1
2,0,Casual,0.3,0.16830489532424547,7.479323075472924,2.2437969226418772,36.91536521243218,8.661056121397646,0.0,8.661056121397646,1
2,0,F2P,0.65,0.4939111622551616,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0,Whale,0.05,0.03649607526677358,88.25902253039297,4.412951126519649,1079.5481387776417,17.033991348365845,0.0,17.033991348365845,1
3,0,Casual,0.3,0.18326781960578375,14.320852954603728,4.296255886381118,70.2776736920909,16.583547721431117,0.0,16.583547721431117,1
3,0,F2P,0.65,0.4774956758060349,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0,Whale,0.05,0.06412477519874878,55.678653200389746,2.7839326600194876,579.0399391973482,10.745980067675221,0.0,10.745980067675221,1
4,0,Casual,0.3,0.16648508565920322,8.484314753285481,2.5452944259856443,21.924773577990322,9.824836484304587,0.0,9.824836484304587,1
4,0,F2P,0.65,0.42795939962553153,0.0,0.0,0.0,0.0,0.0,0.0,0
